id_transaction,id_collaborateur,date_transaction,client,categorie,montant_euros,statut
T000709,C0171,20/09/2025,Maison Delaunay,Maintenance,3791.49,en attente
T000710,C0139,26-06-2025,Orion Energie,Maintenance,1535.03,en attente
T000711,C0091,2024-06-17,Atelier Bastide,Conseil,1476.45,payee
T000712,C0127,10/12/2024,Atelier Bastide,Audit,3716.7,payee
T000713,C0141,2025-01-31,Cabinet Ferrand,Conseil,3426.7,en attente
T000714,C0043,2025-05-11,Verne Industries,Licence,1779.05,payee
T000715,C0069,2025-07-06,Sigma Sante,Formation,1721.16,en attente
T000716,C0205,2024-12-20,Atelier Bastide,Formation,3018.85,payee
T000717,C0003,17/08/2024,Cabinet Ferrand,Formation,2593.18,en attente
T000718,C0062,26/04/2025,Nord Logistique,Conseil,7695.85,payee
T000719,C0025,01-04-2024,Cabinet Ferrand,Licence,6045.49,en attente
T000720,C0059,2025-05-07,Nord Logistique,Licence,4803.55,payee
T000721,C0075,2025-10-16,Sigma Sante,Licence,6420.47,payee
T000722,C0048,01/06/2025,Nord Logistique,Conseil,2226.99,en attente
T000723,C0131,12-11-2024,Cabinet Ferrand,Maintenance,2411.66,payee
T000724,C0050,2025-08-24,Orion Energie,Conseil,5606.4,payee
T000725,C0184,2025-01-23,Orion Energie,Audit,3249.17,payee
T000726,C0090,2025-01-29,Orion Energie,Conseil,3353.38,payee
T000727,C0203,2025-09-14,Groupe Lorrain,Conseil,1655.01,payee
T000728,C0198,2024-05-21,Sigma Sante,Formation,5477.27,payee
T000729,C0094,2025-07-23,Orion Energie,Licence,4257.46,payee
T000730,C0139,2025-05-11,Sigma Sante,Audit,2754.71,payee
T000731,C0006,2025-01-21,Maison Delaunay,Licence,2421.48,en attente
T000732,C0016,2024-02-26,Verne Industries,Formation,5921.13,payee
T000733,C0118,2025-07-12,Maison Delaunay,Audit,2242.06,payee
T000734,C0110,2024-06-08,Nord Logistique,Formation,1362.52,payee
T000735,C0093,2025-10-15,Sigma Sante,Audit,6089.38,payee
T000736,C0021,2025-08-01,Verne Industries,Licence,6151.16,en attente
T000737,C0195,22/09/2024,Maison Delaunay,Formation,2237.21,payee
T000738,C0095,2024-11-13,Sigma Sante,Formation,8448.47,payee
T000739,C0110,2024-01-19,Sigma Sante,Conseil,3058.03,payee
T000740,C0094,29/12/2024,Atelier Bastide,Maintenance,-2251.06,en attente
T000741,C0116,12/02/2024,Sigma Sante,Licence,4187.22,payee
T000742,C0151,21/12/2025,Atelier Bastide,Maintenance,1512.35,payee
T000743,C0178,12-04-2025,Orion Energie,Maintenance,1893.0,payee
T000744,C0128,2024-06-20,Groupe Lorrain,Conseil,3728.82,annulee
T000745,C0039,2025-08-09,Atelier Bastide,Audit,3392.79,payee
T000746,C0203,2024-01-15,Nord Logistique,Licence,5046.02,payee
T000747,C0067,2025-02-05,Nord Logistique,Maintenance,1644.31,en attente
T000748,C0004,22/03/2024,Maison Delaunay,Conseil,7722.94,payee
T000749,C0010,2024-02-09,Cabinet Ferrand,Maintenance,2566.34,payee
T000750,C0180,2024-06-27,Groupe Lorrain,Maintenance,3329.52,payee
T000751,C0090,2024-08-02,Nord Logistique,Formation,2503.55,annulee
T000752,C0006,13/06/2025,Nord Logistique,Audit,1505.05,payee
T000753,C0189,2025-10-12,Nord Logistique,Maintenance,3143.86,payee
T000754,C0071,2025-07-20,Cabinet Ferrand,Audit,4505.35,en attente
T000755,C0014,2025-06-24,Orion Energie,Audit,2900.1,payee
T000756,C0205,16/02/2025,Sigma Sante,Formation,2011.84,payee
T000757,C0012,2024-09-27,Atelier Bastide,Audit,5130.73,payee
T000758,C0161,05/07/2024,Groupe Lorrain,Maintenance,5228.73,payee
T000759,C0140,21/11/2025,Atelier Bastide,Conseil,2820.65,payee
T000760,C0040,2025-01-15,Groupe Lorrain,Maintenance,3847.6,payee
T000761,C0080,2025-02-15,Maison Delaunay,Licence,5111.76,en attente
T000762,C0114,2024-01-11,Nord Logistique,Audit,4479.73,payee
T000763,C0034,30-11-2024,Cabinet Ferrand,Conseil,3792.35,en attente
T000764,C0168,2025-05-12,Nord Logistique,Formation,4386.95,payee
T000765,C0065,2024-12-27,Sigma Sante,Formation,3982.65,payee
T000766,C0218,24/03/2025,Sigma Sante,Licence,3237.88,payee
T000767,C0186,2025-08-14,Cabinet Ferrand,Maintenance,1625.07,payee
T000768,C0148,2024-01-16,Nord Logistique,Formation,1849.41,payee
T000769,C0028,2025-10-22,Nord Logistique,Maintenance,4070.12,payee
T000770,C0006,19-08-2025,Orion Energie,Conseil,2490.07,payee
T000771,C0034,2024-11-02,Sigma Sante,Formation,3995.97,payee
T000772,C0116,2025-07-11,Verne Industries,Maintenance,1600.64,payee
T000773,C0182,2024-02-18,Orion Energie,Formation,2115.38,en attente
T000774,C0036,2024-08-13,Cabinet Ferrand,Licence,2900.05,payee
T000775,C0165,19-03-2024,Sigma Sante,Maintenance,797.26,payee
T000776,C0012,2025-04-08,Orion Energie,Formation,1965.25,payee
T000777,C0062,2025-09-17,Sigma Sante,Audit,2266.71,payee
T000778,C0139,2025-03-15,Groupe Lorrain,Audit,3519.46,payee
T000779,C0193,03-06-2025,Atelier Bastide,Audit,2807.83,payee
T000780,C0181,2024-04-14,Sigma Sante,Licence,3615.77,payee
T000781,C0124,12/11/2025,Groupe Lorrain,Formation,3297.58,payee
T000782,C0009,2024-05-21,Groupe Lorrain,Audit,2747.64,annulee
T000783,C0069,2025-01-19,Verne Industries,Maintenance,2274.93,payee
T000784,C0182,2025-05-13,Cabinet Ferrand,Maintenance,3354.96,payee
T000785,C0019,2025-09-17,Atelier Bastide,Conseil,5815.39,annulee
T000786,C0164,2025-11-12,Atelier Bastide,Audit,2267.63,payee
T000787,C0164,13/03/2025,Verne Industries,Licence,7565.27,payee
T000788,C0175,2025-02-24,Nord Logistique,Maintenance,3387.54,payee
T000789,C0051,2024-10-31,Nord Logistique,Audit,4918.69,en attente
T000790,C0057,2025-02-18,Sigma Sante,Conseil,3869.52,payee
T000791,C0047,2025-05-07,Orion Energie,Conseil,4157.47,payee
T000792,C0092,2025-04-17,Groupe Lorrain,Conseil,1956.85,payee
T000793,C0122,2025-03-08,Maison Delaunay,Maintenance,2478.58,payee
T000794,C0028,17/11/2024,Atelier Bastide,Audit,1193.59,annulee
T000795,C0132,22-05-2024,Verne Industries,Conseil,2865.8,annulee
T000796,C0056,09/02/2024,Verne Industries,Conseil,4353.38,payee
T000797,C0131,03/11/2024,Maison Delaunay,Licence,2876.75,payee
T000798,C0071,16/10/2024,Verne Industries,Formation,5054.03,payee
T000799,C0062,2025-03-19,Orion Energie,Conseil,2607.45,payee
T000800,C0075,2025-10-19,Cabinet Ferrand,Maintenance,2191.44,payee
T000801,C0203,2025-05-27,Sigma Sante,Audit,2422.49,payee
T000802,C0041,2025-08-10,Orion Energie,Formation,4564.02,en attente
T000803,C0020,26/02/2025,Nord Logistique,Conseil,6747.73,annulee
T000804,C0044,2025-11-08,Groupe Lorrain,Formation,7950.27,payee
T000805,C0098,2025-11-16,Maison Delaunay,Conseil,4327.25,payee
T000806,C0210,2024-04-21,Cabinet Ferrand,Licence,4938.03,en attente
T000807,C0041,2025-04-11,Verne Industries,Conseil,1359.19,payee
T000808,C0182,2025-01-04,Cabinet Ferrand,Formation,1581.4,payee
T000809,C0162,2025-12-10,Verne Industries,Conseil,2003.48,payee
T000810,C0080,02-03-2025,Verne Industries,Maintenance,5990.11,en attente
T000811,C0079,12/01/2024,Orion Energie,Licence,5947.68,payee
T000812,C0220,2024-06-02,Verne Industries,Conseil,8841.9,payee
T000813,C0166,2024-04-04,Cabinet Ferrand,Conseil,1978.6,payee
T000814,C0056,26/05/2024,Maison Delaunay,Licence,3044.1,payee
T000815,C0212,2024-03-10,Atelier Bastide,Licence,1188.75,payee
T000816,C0095,2025-07-24,Nord Logistique,Conseil,1441.61,payee
T000817,C9999,2024-12-26,Orion Energie,Formation,2741.93,payee
T000818,C0189,2025-05-05,Sigma Sante,Maintenance,2026.8,payee
T000819,C0202,2025-12-30,Groupe Lorrain,Licence,2040.14,payee
T000820,C0103,17/04/2025,Cabinet Ferrand,Conseil,2323.32,en attente
T000821,C0164,2024-12-15,Groupe Lorrain,Formation,6328.94,payee
T000822,C0055,13/07/2024,Nord Logistique,Conseil,5403.72,payee
T000823,C0198,2025-07-04,Verne Industries,Audit,1837.14,payee
T000824,C0086,04/01/2025,Orion Energie,Audit,5329.28,payee
T000825,C0063,06-07-2025,Atelier Bastide,Formation,2116.38,payee
T000826,C0117,2024-01-17,Sigma Sante,Formation,1348.56,payee
T000827,C0062,2024-04-29,Verne Industries,Conseil,2279.14,payee
T000828,C0144,2024-04-04,Orion Energie,Maintenance,3691.83,payee
T000829,C0174,2025-05-12,Atelier Bastide,Audit,1952.59,en attente
T000830,C0095,2025-01-13,Verne Industries,Formation,4287.74,en attente
T000831,C0182,2024-08-19,Verne Industries,Maintenance,2365.38,payee
T000832,C0101,14-08-2024,Orion Energie,Formation,3827.04,annulee
T000833,C0001,2025-03-18,Maison Delaunay,Audit,1825.0,payee
T000834,C0062,2025-12-05,Sigma Sante,Formation,3198.69,payee
T000835,C0164,2025-12-27,Nord Logistique,Conseil,1985.75,payee
T000836,C0125,10-12-2024,Sigma Sante,Audit,2784.01,en attente
T000837,C0219,2025-05-04,Maison Delaunay,Audit,7621.96,payee
T000838,C0051,2024-03-02,Maison Delaunay,Formation,2533.07,en attente
T000839,C0046,21/11/2025,Sigma Sante,Audit,1561.65,payee
T000840,C0202,2024-01-14,Orion Energie,Formation,3302.55,payee
T000841,C0210,2024-09-06,Nord Logistique,Formation,3331.38,payee
T000842,C0174,2025-06-13,Cabinet Ferrand,Licence,3320.43,en attente
T000843,C0111,2025-12-08,Maison Delaunay,Maintenance,4164.09,en attente
T000844,C0096,2024-05-05,Maison Delaunay,Formation,2470.05,payee
T000845,C0155,2025-04-27,Orion Energie,Maintenance,4368.98,payee
T000846,C0174,17-05-2024,Maison Delaunay,Maintenance,3131.95,payee
T000847,C0065,06-02-2024,Orion Energie,Conseil,1511.35,en attente
T000848,C0002,2024-11-05,Maison Delaunay,Audit,4675.75,payee
T000849,C0018,2025-02-24,Orion Energie,Conseil,3463.95,payee
T000850,C0080,11/07/2024,Sigma Sante,Licence,4255.21,payee
T000851,C0159,2025-12-11,Orion Energie,Licence,1612.66,payee
T000852,C0103,2025-03-26,Atelier Bastide,Licence,4813.51,payee
T000853,C0144,2024-11-15,Orion Energie,Conseil,8619.95,annulee
T000854,C0109,2024-12-20,Verne Industries,Formation,1544.59,payee
T000855,C0059,2024-12-04,Sigma Sante,Conseil,5149.18,payee
T000856,C0174,2024-03-22,Cabinet Ferrand,Audit,3471.39,payee
T000857,C0168,2025-03-18,Cabinet Ferrand,Conseil,3148.93,payee
T000858,C0025,26-07-2025,Maison Delaunay,Licence,4841.07,payee
T000859,C0192,03/11/2024,Nord Logistique,Formation,4581.26,payee
T000860,C0089,06/11/2024,Maison Delaunay,Conseil,5783.61,payee
T000861,C0164,26-10-2025,Groupe Lorrain,Formation,1648.01,payee
T000862,C0082,21-03-2025,Sigma Sante,Audit,5894.76,payee
T000863,C0203,2024-08-05,Cabinet Ferrand,Licence,3807.81,payee
T000864,C0142,2024-01-03,Sigma Sante,Audit,1209.66,en attente
T000865,C0194,2025-08-23,Verne Industries,Audit,2545.47,payee
T000866,C0066,2025-04-02,Nord Logistique,Licence,3511.83,payee
T000867,C0004,02-04-2025,Nord Logistique,Audit,2516.14,en attente
T000868,C0033,2024-07-25,Atelier Bastide,Formation,2950.83,en attente
T000869,C0124,2024-05-15,Cabinet Ferrand,Licence,2331.49,payee
T000870,C0025,2024-12-26,Maison Delaunay,Maintenance,7329.8,payee
T000871,C0146,2025-07-07,Sigma Sante,Licence,10862.18,payee
T000872,C0188,2024-08-05,Orion Energie,Audit,4404.34,payee
T000873,C0109,2025-01-19,Cabinet Ferrand,Conseil,3293.95,payee
T000874,C0117,28-12-2025,Maison Delaunay,Licence,1802.1,payee
T000875,C0219,2024-06-09,Atelier Bastide,Maintenance,5791.34,payee
T000876,C0051,2024-06-17,Orion Energie,Formation,4119.92,payee
T000877,C0201,21-06-2024,Sigma Sante,Audit,1905.8,payee
T000878,C0005,2025-10-28,Orion Energie,Formation,1913.22,payee
T000879,C0138,20/01/2025,Cabinet Ferrand,Formation,2988.15,payee
T000880,C0102,2025-11-01,Verne Industries,Formation,3311.01,payee
T000881,C0070,2025-11-22,Sigma Sante,Maintenance,4352.38,payee
T000882,C0217,2024-11-03,Maison Delaunay,Conseil,3091.06,payee
T000883,C0154,2024-02-10,Atelier Bastide,Conseil,4537.65,payee
T000884,C0033,2024-08-09,Nord Logistique,Maintenance,2517.44,en attente
T000885,C0033,31/01/2025,Maison Delaunay,Formation,3095.32,annulee
T000886,C0028,05-10-2024,Cabinet Ferrand,Conseil,5897.98,payee
T000887,C0071,2024-01-02,Verne Industries,Formation,4640.18,en attente
T000888,C0016,2025-12-23,Atelier Bastide,Formation,3190.86,payee
T000889,C0062,2024-08-09,Cabinet Ferrand,Conseil,3739.49,payee
T000890,C0178,2025-03-27,Atelier Bastide,Audit,3102.44,payee
T000891,C0203,2025-11-22,Verne Industries,Conseil,1449.8,payee
T000892,C0183,2025-02-01,Atelier Bastide,Licence,607.76,payee
T000893,C0116,2025-05-21,Cabinet Ferrand,Formation,6895.36,payee
T000894,C0162,27/01/2024,Maison Delaunay,Formation,1975.14,en attente
T000895,C0219,2025-05-23,Cabinet Ferrand,Conseil,2619.67,en attente
T000896,C0013,2025-09-10,Atelier Bastide,Audit,9915.19,en attente
T000897,C0210,2025-11-01,Sigma Sante,Audit,1763.16,payee
T000898,C0168,02/03/2024,Cabinet Ferrand,Conseil,3010.51,annulee
T000899,C0090,2024-06-15,Nord Logistique,Conseil,6091.24,payee
T000900,C0105,2024-02-04,Nord Logistique,Audit,7640.9,payee
T000901,C0102,2025-11-01,Nord Logistique,Licence,4090.81,payee
T000902,C0037,2024-07-19,Cabinet Ferrand,Conseil,5817.92,en attente
T000903,C0054,22-01-2025,Sigma Sante,Conseil,2853.07,payee
T000904,C0069,2024-12-13,Sigma Sante,Licence,605.97,payee
T000905,C0002,2025-05-17,Orion Energie,Licence,5560.51,annulee
T000906,C0117,2025-10-15,Cabinet Ferrand,Maintenance,3153.18,payee
T000907,C0111,24-08-2024,Verne Industries,Conseil,2681.47,payee
T000908,C0077,2025-07-30,Groupe Lorrain,Formation,2557.15,payee
T000909,C0041,31-07-2024,Cabinet Ferrand,Formation,4493.03,payee
T000910,C0203,24/05/2024,Orion Energie,Licence,4466.79,payee
T000911,C0158,2024-03-18,Verne Industries,Formation,3200.93,payee
T000912,C0111,2024-09-28,Sigma Sante,Formation,3991.77,payee
T000913,C0168,2025-02-13,Sigma Sante,Audit,1743.53,payee
T000914,C0087,2025-07-23,Maison Delaunay,Licence,2875.28,payee
T000915,C0051,11/09/2025,Nord Logistique,Licence,1788.28,payee
T000916,C0157,2025-01-19,Sigma Sante,Conseil,1754.55,payee
T000917,C0179,2024-10-25,Groupe Lorrain,Conseil,3800.42,payee
T000918,C0151,2024-05-07,Atelier Bastide,Maintenance,3289.69,payee
T000919,C0132,2025-10-29,Atelier Bastide,Audit,2520.21,payee
T000920,C0001,2024-10-16,Sigma Sante,Licence,2801.04,payee
T000921,C0148,2025-07-12,Cabinet Ferrand,Conseil,3962.66,en attente
T000922,C0144,2025-04-01,Atelier Bastide,Licence,4539.41,payee
T000923,C0096,2025-11-10,Groupe Lorrain,Formation,4176.11,payee
T000924,C0057,11-12-2025,Cabinet Ferrand,Conseil,1176.95,payee
T000925,C0151,30-05-2025,Cabinet Ferrand,Conseil,766.88,payee
T000926,C0088,2025-04-28,Atelier Bastide,Licence,2077.86,payee
T000927,C0064,10-04-2024,Groupe Lorrain,Licence,773.57,annulee
T000928,C0164,2024-01-12,Sigma Sante,Licence,6493.59,payee
T000929,C0112,2025-02-02,Sigma Sante,Maintenance,2752.22,payee
T000930,C0130,2025-05-29,Atelier Bastide,Formation,1505.29,payee
T000931,C0151,28/06/2025,Cabinet Ferrand,Formation,2735.5,payee
T000932,C0086,2024-07-02,Verne Industries,Maintenance,1014.38,payee
T000933,C0036,2025-01-02,Cabinet Ferrand,Conseil,1525.45,payee
T000934,C0039,2025-09-21,Groupe Lorrain,Conseil,2628.38,payee
T000935,C0218,10-03-2024,Orion Energie,Audit,2400.69,payee
T000936,C0118,07-10-2024,Maison Delaunay,Formation,2616.91,en attente
T000937,C0097,2025-11-20,Orion Energie,Conseil,4026.76,payee
T000938,C0075,2024-05-25,Verne Industries,Maintenance,5102.42,payee
T000939,C0168,19-08-2024,Sigma Sante,Licence,3397.94,payee
T000940,C0212,07-12-2024,Nord Logistique,Conseil,5238.38,payee
T000941,C0179,2025-05-17,Atelier Bastide,Audit,2430.21,payee
T000942,C0124,05/07/2024,Verne Industries,Formation,5594.02,payee
T000943,C0111,2025-08-01,Sigma Sante,Maintenance,3425.76,payee
T000944,C0201,2024-06-21,Sigma Sante,Maintenance,4882.99,en attente
T000945,C0199,25-09-2024,Maison Delaunay,Audit,2456.77,payee
T000946,C0091,2025-02-22,Atelier Bastide,Maintenance,3346.17,payee
T000947,C0025,2024-01-09,Maison Delaunay,Maintenance,8151.46,payee
T000948,C0192,14-07-2025,Orion Energie,Conseil,3333.29,payee
T000949,C0197,2025-05-03,Groupe Lorrain,Audit,5080.18,payee
T000950,C0014,2025-09-01,Verne Industries,Conseil,5394.91,payee
T000951,C0031,19-07-2024,Groupe Lorrain,Formation,4338.68,payee
T000952,C0070,2024-10-17,Groupe Lorrain,Licence,4725.83,payee
T000953,C0177,17-10-2025,Orion Energie,Formation,2460.72,payee
T000954,C0019,18/02/2024,Atelier Bastide,Licence,2040.71,payee
T000955,C0020,2024-12-24,Atelier Bastide,Conseil,1802.63,payee
T000956,C0008,2024-12-19,Groupe Lorrain,Licence,3931.45,en attente
T000957,C0045,2024-11-22,Orion Energie,Formation,3284.0,annulee
T000958,C0214,2024-11-12,Cabinet Ferrand,Maintenance,3794.39,payee
T000959,C0168,2025-06-29,Sigma Sante,Licence,1635.34,payee
T000960,C0167,2024-05-23,Verne Industries,Maintenance,2217.48,payee
T000961,C0068,2025-10-12,Maison Delaunay,Conseil,5009.99,payee
T000962,C0146,2025-10-16,Orion Energie,Audit,3547.68,payee
T000963,C0181,2024-05-10,Maison Delaunay,Formation,3438.72,en attente
T000964,C0124,2025-12-12,Nord Logistique,Formation,2864.21,payee
T000965,C0199,10/07/2024,Atelier Bastide,Licence,2109.43,payee
T000966,C0133,07-02-2024,Atelier Bastide,Conseil,5686.5,payee
T000967,C0076,2024-10-17,Nord Logistique,Audit,6157.4,payee
T000968,C0149,2025-08-03,Cabinet Ferrand,Formation,3354.78,payee
T000969,C0219,2025-09-08,Groupe Lorrain,Audit,1062.34,payee
T000970,C0192,2025-04-16,Atelier Bastide,Conseil,3018.77,payee
T000971,C0116,2025-08-15,Cabinet Ferrand,Audit,6381.12,payee
T000972,C0139,2024-07-09,Atelier Bastide,Formation,2252.68,payee
T000973,C0014,2025-10-03,Nord Logistique,Maintenance,2544.22,payee
T000974,C0174,08-04-2025,Verne Industries,Audit,4893.08,en attente
T000975,C0117,07-04-2024,Verne Industries,Conseil,2521.72,payee
T000976,C0066,2024-04-03,Groupe Lorrain,Formation,3257.07,payee
T000977,C0211,14/07/2024,Nord Logistique,Audit,886.86,en attente
T000978,C0014,2024-02-20,Atelier Bastide,Conseil,6230.54,payee
T000979,C0017,25/07/2024,Maison Delaunay,Conseil,4688.59,payee
T000980,C0008,26/12/2025,Orion Energie,Licence,5491.04,en attente
T000981,C0027,2024-06-24,Orion Energie,Conseil,1940.54,payee
T000982,C0090,2025-04-09,Maison Delaunay,Audit,6900.12,en attente
T000983,C0038,14-12-2025,Sigma Sante,Audit,3103.36,payee
T000984,C0205,2024-07-03,Orion Energie,Conseil,5728.01,payee
T000985,C0213,2025-05-23,Maison Delaunay,Conseil,3877.67,payee
T000986,C0042,24-11-2024,Verne Industries,Maintenance,4796.72,payee
T000987,C0193,2024-07-27,Nord Logistique,Licence,4028.49,payee
T000988,C0033,2025-11-24,Sigma Sante,Audit,2511.46,payee
T000989,C0183,2025-04-24,Maison Delaunay,Audit,1279.34,payee
T000990,C0085,2024-11-16,Verne Industries,Licence,5948.03,payee
T000991,C0010,2025-08-15,Atelier Bastide,Formation,643.7,payee
T000992,C0100,2025-10-19,Atelier Bastide,Maintenance,5062.01,payee
T000993,C0191,2025-07-24,Cabinet Ferrand,Maintenance,5944.21,payee
T000994,C0217,26-09-2025,Sigma Sante,Licence,1470.61,payee
T000995,C0029,23-08-2024,Nord Logistique,Formation,2586.45,payee
T000996,C0194,08/09/2024,Groupe Lorrain,Formation,1374.68,payee
T000997,C0069,2024-06-18,Orion Energie,Licence,2314.1,payee
T000998,C0108,2025-05-23,Cabinet Ferrand,Licence,5446.5,en attente
T000999,C0026,2025-08-09,Cabinet Ferrand,Licence,4769.44,en attente
T001000,C0001,2025-04-27,Sigma Sante,Conseil,4452.09,payee
T001001,C0184,13-03-2025,Cabinet Ferrand,Audit,2596.15,payee
T001002,C0150,16/07/2025,Nord Logistique,Maintenance,692.73,en attente
T001003,C0169,2024-05-12,Orion Energie,Audit,1594.3,payee
T001004,C0203,2024-09-24,Nord Logistique,Audit,2864.08,payee
T001005,C0034,31-05-2025,Nord Logistique,Maintenance,1795.76,payee
T001006,C0058,2024-02-08,Verne Industries,Formation,5089.07,payee
T001007,C0009,26/10/2025,Orion Energie,Maintenance,7008.74,payee
T001008,C0114,2024-05-04,Groupe Lorrain,Licence,3862.43,payee
T001009,C0115,2025-07-28,Verne Industries,Audit,1460.17,payee
T001010,C0007,2025-03-26,Orion Energie,Formation,6056.79,payee
T001011,C0154,10-09-2025,Cabinet Ferrand,Conseil,3440.15,payee
T001012,C0003,2025-07-19,Atelier Bastide,Conseil,3203.11,payee
T001013,C0184,2025-01-11,Cabinet Ferrand,Conseil,4265.74,en attente
T001014,C0164,05/07/2025,Verne Industries,Maintenance,1633.53,payee
T001015,C0190,2024-09-09,Nord Logistique,Conseil,2619.26,payee
T001016,C0028,2025-03-02,Atelier Bastide,Conseil,3089.27,payee
T001017,C0202,29-10-2025,Cabinet Ferrand,Formation,3694.15,payee
T001018,C0128,2024-03-02,Orion Energie,Maintenance,3886.62,payee
T001019,C0201,16/09/2024,Groupe Lorrain,Licence,4261.98,payee
T001020,C0162,2024-01-13,Sigma Sante,Formation,2348.2,payee
T001021,C0153,2025-01-25,Groupe Lorrain,Formation,1130.68,en attente
T001022,C0008,2025-07-24,Cabinet Ferrand,Audit,2848.93,payee
T001023,C0161,2024-01-29,Maison Delaunay,Licence,3037.84,payee
T001024,C0105,2025-02-05,Orion Energie,Formation,1099.77,en attente
T001025,C0198,30-10-2024,Verne Industries,Maintenance,2279.09,payee
T001026,C0159,2025-07-25,Groupe Lorrain,Formation,3522.98,payee
T001027,C0018,09-06-2024,Sigma Sante,Formation,2473.93,payee
T001028,C0207,2024-04-28,Orion Energie,Maintenance,3449.95,en attente
T001029,C0015,10-03-2024,Nord Logistique,Formation,2416.14,payee
T001030,C0070,2024-10-24,Groupe Lorrain,Licence,4421.07,payee
T001031,C0051,2024-12-21,Nord Logistique,Maintenance,1876.15,payee
T001032,C0014,2025-11-01,Cabinet Ferrand,Formation,3224.06,payee
T001033,C0036,06-12-2024,Cabinet Ferrand,Conseil,3305.7,payee
T001034,C0196,2024-05-05,Groupe Lorrain,Audit,4990.61,en attente
T001035,C0052,2025-05-25,Verne Industries,Formation,2693.16,payee
T001036,C0151,14/02/2024,Orion Energie,Formation,6959.42,annulee
T001037,C0021,09-09-2024,Groupe Lorrain,Licence,6826.61,payee
T001038,C0091,22-04-2025,Orion Energie,Conseil,1945.47,payee
T001039,C0145,04/07/2024,Nord Logistique,Conseil,3175.22,payee
T001040,C0165,2025-03-10,Nord Logistique,Licence,1547.41,payee
T001041,C0203,26-11-2024,Orion Energie,Audit,4095.31,payee
T001042,C0190,2025-11-25,Atelier Bastide,Licence,2455.41,payee
T001043,C0121,2024-07-28,Orion Energie,Licence,3415.83,payee
T001044,C0071,2025-10-23,Verne Industries,Maintenance,2809.59,payee
T001045,C0061,2025-04-01,Verne Industries,Audit,10656.37,payee
T001046,C0196,2025-07-01,Cabinet Ferrand,Audit,2982.21,payee
T001047,C0142,03-05-2024,Nord Logistique,Conseil,2845.64,payee
T001048,C0211,2024-01-14,Verne Industries,Licence,5154.82,payee
T001049,C0101,2025-06-17,Sigma Sante,Licence,5526.03,payee
T001050,C0113,16/12/2024,Groupe Lorrain,Formation,3672.62,en attente
T001051,C0192,2024-08-13,Maison Delaunay,Audit,5603.28,en attente
T001052,C0168,2025-10-16,Maison Delaunay,Formation,9749.07,payee
T001053,C0047,2024-08-26,Nord Logistique,Audit,2731.36,payee
T001054,C0122,2024-11-12,Nord Logistique,Conseil,1653.2,payee
T001055,C0050,12/06/2025,Maison Delaunay,Maintenance,3935.47,payee
T001056,C0177,2025-12-03,Orion Energie,Maintenance,5341.36,en attente
T001057,C0007,2025-10-18,Atelier Bastide,Licence,6676.46,payee
T001058,C0192,2025-04-21,Cabinet Ferrand,Conseil,4297.71,en attente
T001059,C0216,2024-03-21,Nord Logistique,Conseil,3265.5,payee
T001060,C0006,2024-03-20,Verne Industries,Maintenance,2105.96,annulee
T001061,C0147,2025-05-20,Orion Energie,Audit,5960.3,payee
T001062,C0019,2025-01-06,Nord Logistique,Licence,3770.65,payee
T001063,C0084,07-04-2024,Nord Logistique,Conseil,1148.11,en attente
T001064,C0079,2025-05-22,Atelier Bastide,Maintenance,8142.11,payee
T001065,C0121,2025-11-18,Cabinet Ferrand,Licence,1711.42,payee
T001066,C0213,2024-02-17,Maison Delaunay,Conseil,5391.86,payee
T001067,C0108,25/08/2025,Cabinet Ferrand,Formation,3613.22,en attente
T001068,C0093,08-09-2024,Sigma Sante,Formation,1202.01,en attente
T001069,C0022,17/10/2024,Atelier Bastide,Audit,3070.34,payee
T001070,C0206,2025-06-07,Atelier Bastide,Audit,2735.47,payee
T001071,C0074,2024-06-29,Verne Industries,Conseil,1374.17,payee
T001072,C0108,2024-04-24,Verne Industries,Licence,4089.97,payee
T001073,C0022,2025-12-04,Sigma Sante,Conseil,5013.35,payee
T001074,C0068,11/09/2024,Sigma Sante,Licence,3182.22,payee
T001075,C0129,03-05-2024,Cabinet Ferrand,Conseil,2696.64,payee
T001076,C0209,18/05/2025,Nord Logistique,Maintenance,4248.61,payee
T001077,C0077,2024-06-07,Verne Industries,Conseil,535.42,payee
T001078,C0131,2025-07-20,Nord Logistique,Audit,2536.08,payee
T001079,C0204,2024-02-21,Maison Delaunay,Formation,2637.93,payee
T001080,C0084,2025-01-13,Maison Delaunay,Formation,3236.14,payee
T001081,C0069,2024-10-21,Orion Energie,Audit,1323.33,payee
T001082,C0011,2025-11-29,Nord Logistique,Audit,959.38,en attente
T001083,C0211,2025-01-15,Verne Industries,Conseil,1806.06,payee
T001084,C0026,2025-11-06,Groupe Lorrain,Conseil,4057.64,en attente
T001085,C0050,2024-06-30,Maison Delaunay,Audit,2614.0,payee
T001086,C0033,2024-12-11,Sigma Sante,Audit,1799.26,en attente
T001087,C0165,17/08/2025,Nord Logistique,Licence,7505.83,payee
T001088,C0085,27/04/2024,Orion Energie,Conseil,2695.36,payee
T001089,C0164,2025-11-08,Verne Industries,Conseil,3246.35,payee
T001090,C0141,2025-07-18,Groupe Lorrain,Formation,5915.18,payee
T001091,C0004,2025-05-09,Maison Delaunay,Maintenance,3492.74,payee
T001092,C0072,2024-06-26,Groupe Lorrain,Conseil,4227.21,payee
